CustomerID,Gender,Age,Plan,Contract,TenureMonths,MonthlyCharges,TotalCharges,PaymentMethod,SupportCalls,SatisfactionScore,Churn
CUST00001,Male,64,Basic,Annual,5,11.51,55.93,Bank Transfer,0,1,No
CUST00002,Female,29,Basic,Two-Year,3,11.11,30.93,Credit Card,3,4,No
CUST00003,Male,33,Standard,Annual,57,20.68,1092.67,Credit Card,2,4,No
CUST00004,Male,41,Standard,Month-to-Month,47,19.73,966.54,Debit Card,0,4,Yes
CUST00005,Male,36,Basic,Month-to-Month,19,12.58,233.17,Debit Card,2,4,No
CUST00006,Female,25,Premium,Annual,2,40.32,88.08,Credit Card,1,2,No
CUST00007,Male,48,Premium,Month-to-Month,44,39.22,1665.51,Bank Transfer,0,5,No
CUST00008,Male,38,Basic,Two-Year,37,11.3,458.53,Debit Card,4,2,No
CUST00009,Male,34,Basic,Month-to-Month,54,10.13,514.79,Credit Card,1,3,No
CUST00010,Female,40,Premium,Month-to-Month,17,40.51,633.96,Credit Card,1,4,Yes
CUST00011,Male,54,Standard,Two-Year,14,20.29,273.41,Bank Transfer,0,3,No
CUST00012,Male,33,Standard,Month-to-Month,28,20.74,625.5,PayPal,2,2,Yes
CUST00013,Male,23,Premium,Month-to-Month,27,38.52,1044.59,Credit Card,1,4,No
CUST00014,Male,25,Basic,Annual,54,7.81,391.01,Debit Card,0,2,No
CUST00015,Female,42,Basic,Annual,10,12.14,114.18,Bank Transfer,3,4,No
CUST00016,Male,35,Basic,Month-to-Month,3,10.36,29.91,Bank Transfer,0,2,Yes
CUST00017,Female,42,Standard,Two-Year,36,21.15,775.13,Bank Transfer,3,1,Yes
CUST00018,Female,29,Standard,Month-to-Month,38,17.35,637.2,PayPal,4,5,Yes
CUST00019,Female,32,Standard,Annual,56,21.59,1268.78,PayPal,3,5,No
CUST00020,Male,43,Basic,Month-to-Month,25,9.21,235.61,Debit Card,2,4,No
CUST00021,Female,58,Basic,Annual,22,8.78,207.6,Debit Card,0,1,Yes
CUST00022,Male,62,Standard,Month-to-Month,48,19.89,954.9,Bank Transfer,3,3,Yes
CUST00023,Female,43,Standard,Month-to-Month,39,18.52,697.89,Debit Card,1,1,Yes
CUST00024,Female,64,Standard,Month-to-Month,47,19.99,1032.78,Credit Card,0,4,No
CUST00025,Female,49,Basic,Annual,30,9.79,285.22,PayPal,3,1,No
CUST00026,Female,27,Premium,Month-to-Month,21,41.58,860.71,Bank Transfer,1,3,No
CUST00027,Female,33,Basic,Annual,30,12.26,390.54,Bank Transfer,0,4,No
CUST00028,Female,24,Premium,Annual,28,42.21,1084.64,Credit Card,4,5,No
CUST00029,Female,34,Basic,Month-to-Month,31,6.59,199.65,Credit Card,1,1,No
CUST00030,Female,40,Standard,Month-to-Month,57,18.59,971.83,Credit Card,0,5,No
CUST00031,Male,43,Basic,Month-to-Month,52,6.58,317.48,Credit Card,2,5,No
CUST00032,Male,38,Premium,Annual,26,38.2,894.8,Bank Transfer,0,2,Yes
CUST00033,Female,39,Standard,Month-to-Month,43,19.02,737.64,PayPal,2,3,No
CUST00034,Female,24,Basic,Month-to-Month,22,10.61,227.83,PayPal,1,1,Yes
CUST00035,Female,31,Basic,Annual,21,9.21,205.37,Credit Card,1,5,No
CUST00036,Male,32,Basic,Annual,1,9.25,9.41,Debit Card,0,5,No
CUST00037,Female,24,Basic,Month-to-Month,37,10.26,389.86,Bank Transfer,3,3,No
CUST00038,Male,26,Premium,Month-to-Month,13,37.43,488.46,PayPal,0,5,No
CUST00039,Male,68,Basic,Annual,21,8.73,195.06,Credit Card,1,5,Yes
CUST00040,Male,65,Standard,Two-Year,46,19.23,951.88,Debit Card,0,5,No
CUST00041,Male,25,Standard,Two-Year,9,19.69,189.61,Debit Card,2,5,No
CUST00042,Male,67,Standard,Annual,17,20.11,363.21,Credit Card,1,2,No
CUST00043,Female,40,Basic,Month-to-Month,47,12.24,538.77,Bank Transfer,1,2,No
CUST00044,Female,46,Basic,Month-to-Month,21,11.35,242.83,PayPal,2,4,Yes
CUST00045,Female,35,Standard,Month-to-Month,31,18.84,593.64,Debit Card,3,1,Yes
CUST00046,Female,48,Premium,Month-to-Month,39,39.6,1553.03,PayPal,1,3,No
CUST00047,Female,47,Basic,Annual,59,9.5,558.35,PayPal,5,4,No
CUST00048,Male,69,Basic,Month-to-Month,54,9.22,456.97,Debit Card,2,2,Yes
CUST00049,Female,56,Standard,Month-to-Month,22,20.4,413.09,Credit Card,1,2,Yes
CUST00050,Female,52,Premium,Two-Year,12,37.2,482.32,Debit Card,0,2,No
CUST00051,Male,35,Basic,Month-to-Month,55,11.31,638.25,Debit Card,2,4,No
CUST00052,Female,59,Basic,Month-to-Month,6,12.53,71.61,Bank Transfer,3,2,Yes
CUST00053,Male,56,Premium,Month-to-Month,53,39.59,2005.65,PayPal,4,4,No
CUST00054,Female,34,Basic,Annual,16,9.56,156.33,Credit Card,1,2,No
CUST00055,Male,31,Basic,Annual,26,10.23,261.03,PayPal,1,5,No
CUST00056,Female,48,Standard,Month-to-Month,5,21.52,106.34,Debit Card,1,5,No
CUST00057,Female,41,Premium,Month-to-Month,9,39.5,324.26,Credit Card,0,1,Yes
CUST00058,Male,52,Basic,Annual,46,11.39,486.08,Credit Card,1,2,Yes
CUST00059,Male,61,Standard,Annual,40,20.72,811.12,Credit Card,3,1,No
CUST00060,Male,62,Standard,Two-Year,14,23.53,342.58,Credit Card,1,4,No
CUST00061,Male,51,Standard,Annual,44,19.5,780.44,Bank Transfer,1,1,No
CUST00062,Male,20,Standard,Annual,42,17.03,691.59,Credit Card,3,2,Yes
CUST00063,Male,54,Standard,Month-to-Month,30,17.84,556.08,Debit Card,1,4,No
CUST00064,Male,60,Basic,Month-to-Month,52,10.01,550.92,Bank Transfer,1,4,No
CUST00065,Male,57,Standard,Month-to-Month,52,21.53,1050.2,Debit Card,1,5,No
CUST00066,Female,43,Standard,Annual,26,19.01,517.14,Debit Card,4,4,No
CUST00067,Female,40,Standard,Annual,53,19.64,1135.73,PayPal,4,4,No
CUST00068,Male,61,Premium,Month-to-Month,45,41.02,1996.09,Credit Card,0,1,No
CUST00069,Female,56,Basic,Month-to-Month,29,8.54,261.99,Credit Card,1,4,Yes
CUST00070,Female,32,Premium,Month-to-Month,19,39.07,773.85,Debit Card,3,3,No
CUST00071,Female,66,Premium,Two-Year,47,38.24,1702.07,Credit Card,1,5,No
CUST00072,Female,21,Basic,Annual,8,11.76,96.6,Bank Transfer,1,5,Yes
CUST00073,Male,46,Standard,Annual,23,22.3,527.6,PayPal,2,4,No
CUST00074,Female,39,Basic,Annual,53,7.62,396.33,Credit Card,1,1,Yes
CUST00075,Male,42,Basic,Two-Year,42,9.78,410.19,Credit Card,1,5,No
CUST00076,Female,30,Basic,Annual,35,12.1,439.93,Bank Transfer,1,5,No
CUST00077,Female,35,Basic,Annual,31,10.59,357.97,PayPal,1,3,No
CUST00078,Female,50,Basic,Month-to-Month,53,9.26,470.69,Bank Transfer,2,4,No
CUST00079,Male,33,Premium,Month-to-Month,35,37.67,1251.57,Debit Card,2,5,No
CUST00080,Female,62,Basic,Month-to-Month,32,11.72,382.68,Debit Card,0,5,No
CUST00081,Male,59,Premium,Month-to-Month,58,40.53,2177.16,Credit Card,1,5,No
CUST00082,Female,61,Standard,Two-Year,5,17.78,90.37,PayPal,0,5,No
CUST00083,Male,19,Premium,Month-to-Month,16,41.77,613.36,Debit Card,1,1,Yes
CUST00084,Female,52,Standard,Two-Year,17,17.59,298.47,Bank Transfer,1,2,No
CUST00085,Male,59,Basic,Month-to-Month,32,9.66,316.56,Debit Card,2,3,No
CUST00086,Male,51,Standard,Month-to-Month,38,19.59,680.42,Debit Card,0,1,Yes
CUST00087,Female,47,Basic,Two-Year,58,12.42,678.14,Bank Transfer,2,3,No
